Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16
17	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	3	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
18	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	3	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
19	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	3	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
20	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	3	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
21	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	3	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
22	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
23	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
24	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
25	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
26	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
27	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
28	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
29	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0081, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
30	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0086, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
31	'imgPerTrial',4,'trialFlag',1,'initPeriod',10000,'holdPeriod',200,'samplePeriod',400,'delayPeriod',200,'iti', 200,'holdRadius', 4.00,'buttonRadius', 4.00,'buttonColor', [0.00 1.00 0.00],'calibRadius', 1.00,'calibColor', [0.50 0.50 0.50], 'ptdBoxSize', 3.00, 'ptdBoxColor',[1.00 1.00 1.00], 'correctSoundFile','.\dep\correct.wav','incorrectSoundFile','.\dep\incorrect.wav'	1	4	fixTiming	sqr([3 3], [1 1 1], 1,  0,  19)	crc(4, [0 1 0], 1, 20,   0)	sqr([0.3 0.3], [0.5 0.5 0], 1, 0, 0)	crc(1.0, [0.5 0.5 0.5], 1, 0, 0)	snd(.\dep\correct)	snd(.\dep\incorrect)	pic(.\stim\stim_0087, 0, 0)	pic(.\stim\stim_0085, 0, 0)	pic(.\stim\stim_0084, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)	pic(.\stim\stim_0062, 0, 0)
